Source,Target,GoldsteinScale
,REB,2.8
REB,,1.9
,EDU,2.8
GOV,GOV,0.0
,CRM,1.9
,REB,-5.0
,REB,4.0
REB,,4.0
,BUS,-5.0
,REB,3.4
,REB,3.8
GOV,,0.0
LEG,REB,3.0
LEG,,0.0
,LEG,0.0
REB,,-5.0
REB,GOV,1.9
GOV,REB,6.0
REB,,6.0
REB,GOV,6.0
,REB,7.0
CRM,,-2.0
GOV,GOV,1.9
,GOV,1.0
CRM,,2.8
REB,REB,7.0
,REB,6.0
REB,,-10.0
GOV,,4.0
,GOV,7.0
,REB,3.4
,GOV,4.0
REB,GOV,4.0
GOV,REB,7.0
GOV,REB,3.4
GOV,REB,4.0
REB,GOV,4.0
REB,,4.0
GOV,REB,2.8
,REB,3.0
,REB,4.0
GOV,REB,4.0
,GOV,0.0
,BUS,1.9
BUS,,2.8
,REB,8.0
REB,,8.0
GOV,,1.0
GOV,,4.0
MIL,,7.4
,GOV,7.0
GOV,REB,8.0
REB,GOV,8.0
REB,,3.0
LEG,,0.0
GOV,,7.0
,GOV,8.0
GOV,,8.0
,REB,2.8
,,-10.0
GOV,REB,2.8
REB,GOV,-2.0
,REB,3.0
,REB,3.0
REB,,-2.0
REB,GOV,1.9
,MIL,2.8
MIL,,1.9
REB,,4.0
,REB,4.0
,REB,0.4
,CRM,-2.0
BUS,,-4.0
GOV,,0.0
REB,,4.0
,GOV,4.0
GOV,,5.2
,REB,-4.4
REB,REB,4.0
,LEG,1.0
,GOV,7.0
,REB,3.5
LEG,,1.0
,,7.0
REB,,4.0
,REB,4.0
GOV,GOV,1.9
,REB,-9.5
,REB,-2.0
REB,,4.0
,,6.0
GOV,,3.0
GOV,MIL,8.0
REB,GOV,1.0
,MIL,8.0
,GOV,-5.0
GOV,,-5.0
GOV,REB,5.0
,REB,1.0
,REB,7.0
REB,,7.0
GOV,REB,2.5
JUD,,5.0
,REB,3.4
REB,,3.5
,REB,1.0
REB,,1.0
MIL,REB,5.2
,REB,2.8
JUD,,0.0
GOV,REB,1.0
,GOV,0.0
,,3.0
,REB,-4.0
,MIL,1.0
,REB,1.9
,GOV,0.4
MIL,GOV,8.0
REB,REB,0.0
,REB,4.0
REB,REB,4.0
REB,,4.0
,REB,4.0
,REB,8.0
REB,,4.0
REB,,8.0
,REB,-4.0
GOV,,7.0
,GOV,7.0
REB,,2.8
MIL,,8.0
,REB,8.0
GOV,,0.4
,,3.4
,,3.0
,MIL,-5.0
REB,,1.0
,REB,1.0
GOV,,4.0
REB,,8.0
,REB,-4.0
,CVL,3.4
,REB,3.0
LEG,REB,3.0
REB,,0.0
REB,,8.0
REB,,1.9
REB,,0.0
MIL,,1.9
,REB,2.8
REB,,3.4
,MIL,2.8
,REB,0.4
REB,,0.0
,LEG,1.0
GOV,,1.9
GOV,,-5.0
REB,,1.0
REB,UAF,1.0
UAF,REB,1.0
,REB,2.8
REB,,1.9
REB,,7.0
REB,,-10.0
,REB,5.0
,BUS,1.0
,BUS,2.8
,REB,5.0
BUS,,1.0
REB,,4.0
BUS,,1.9
,REB,3.4
,REB,0.4
GOV,,8.0
LEG,,1.0
MIL,,7.0
,GOV,2.8
GOV,,1.9
REB,,7.0
,GOV,8.0
REB,REB,7.0
REB,GOV,0.4
,GOV,2.8
,REB,1.0
,GOV,-10.0
LAB,,4.0
REB,,4.0
GOV,,-5.0
,REB,4.0
REB,,4.0
REB,REB,4.0
,REB,7.0
CVL,REB,2.8
,GOV,3.0
MIL,REB,1.0
MIL,,-9.0
GOV,,4.0
,GOV,4.0
,GOV,0.4
,,8.0
,,8.0
CVL,REB,7.0
GOV,REB,4.0
,GOV,1.9
GOV,,2.8
MIL,,1.0
REB,,1.0
,REB,1.0
,REB,-4.0
,BUS,7.0
BUS,,7.0
MED,,-2.0
,,4.0
REB,,7.0
,,3.4
REB,GOV,5.0
,,4.0
,REB,0.0
GOV,REB,5.0
,REB,4.0
REB,,1.9
,REB,2.8
EDU,,1.0
REB,,3.4
REB,,1.0
,GOV,8.0
GOV,,8.0
,GOV,8.0
REB,REB,4.0
,REB,3.0
MED,,0.0
REB,CVL,1.9
REB,REB,5.0
REB,CVL,7.0
REB,,8.0
CVL,,0.0
,REB,8.0
,CVL,0.0
REB,CVL,-4.0
,REB,4.0
,REB,8.0
MIL,REB,2.8
REB,MIL,1.9
REB,REB,8.3
,REB,0.0
REB,,5.0
REB,,3.5
,REB,3.5
REB,REB,4.0
,REB,4.0
REB,REB,7.0
REB,REB,1.0
GOV,,8.0
REB,REB,8.0
REB,REB,1.0
,REB,1.0
MIL,,-9.0
,REB,-2.0
REB,,-10.0
MIL,,-9.0
,REB,-10.0
REB,REB,7.0
REB,,4.0
REB,,4.0
,GOV,1.0
REB,,3.4
GOV,,7.0
REB,REB,3.4
REB,REB,7.0
REB,GOV,8.0
