Source,Target,GoldsteinScale
GOV,,3.5
,REB,4.0
,REB,8.0
,GOV,3.5
REB,,-9.0
REB,,2.8
,REB,0.0
,REB,1.9
REB,,0.0
CVL,,5.0
,CVL,5.0
REB,GOV,8.0
REB,,4.0
GOV,REB,3.4
GOV,,3.5
REB,,0.0
REB,REB,0.0
GOV,,7.0
,GOV,1.9
GOV,,2.8
,GOV,3.5
GOV,,3.5
MIL,REB,2.8
GOV,REB,4.0
REB,MIL,7.0
REB,MIL,1.9
,REB,1.0
,REB,4.0
REB,,4.0
,REB,4.0
GOV,REB,8.0
COP,,7.0
GOV,,2.8
COP,,-10.0
COP,REB,7.0
COP,REB,-10.0
,GOV,3.5
,GOV,1.9
REB,,8.0
CVL,REB,-4.0
GOV,REB,1.0
,REB,3.5
REB,GOV,-5.0
GOV,,-6.5
MED,,7.0
,,-5.8
,GOV,-4.0
GOV,,-2.0
,REB,2.8
,REB,8.0
REB,,1.9
REB,GOV,1.0
,GOV,-9.0
GOV,,-9.0
,COP,1.9
,REB,2.8
REB,BUS,8.0
BUS,REB,8.0
ENV,,-5.0
,REB,4.0
,MIL,-10.0
,GOV,0.0
,COP,7.4
,COP,-9.0
,GOV,7.4
,GOV,-9.0
GOV,COP,7.4
GOV,COP,-9.0
GOV,,3.0
GOV,,3.0
LEG,,0.0
REB,,-2.0
GOV,,3.4
GOV,MIL,8.0
MIL,GOV,8.0
REB,,-5.0
,COP,1.9
COP,,2.8
COP,,2.8
REB,,8.0
,REB,-6.5
,REB,8.0
REB,,-10.0
REB,,-9.0
REB,,3.0
REB,,5.0
,REB,-2.0
GOV,,0.0
,GOV,8.0
GOV,,-4.0
GOV,REB,4.0
GOV,,7.4
REB,REB,4.0
,REB,-4.0
,REB,0.0
JUD,,-2.0
REB,,1.9
,GOV,-10.0
JUD,,5.0
,CRM,3.5
REB,GOV,4.0
,COP,1.9
,GOV,0.0
REB,,4.0
,CVL,-9.2
REB,,9.0
,REB,9.0
REB,,8.0
CRM,,3.5
,REB,8.0
GOV,,2.8
,REB,0.0
,GOV,2.8
COP,,2.8
,REB,4.0
MIL,,5.0
GOV,,1.9
REB,,4.0
REB,GOV,4.0
GOV,REB,4.0
,GOV,1.9
,REB,4.0
GOV,,-2.0
,CVL,4.0
COP,,-5.0
,GOV,-5.0
BUS,,3.0
GOV,,2.8
,GOV,1.9
JUD,,-4.0
,REB,0.0
,GOV,-5.0
CVL,,3.0
,REB,3.5
REB,,4.0
LEG,,0.0
,REB,3.4
,COP,-10.0
GOV,REB,8.0
ELI,REB,-2.0
,BUS,7.0
REB,REB,0.0
GOV,REB,4.0
,COP,-2.0
,GOV,-10.0
,GOV,-2.0
GOV,GOV,-2.0
GOV,REB,8.0
REB,GOV,8.0
,CRM,7.0
CRM,,7.0
CRM,MIL,7.0
MIL,CRM,7.0
ELI,REB,7.4
,REB,7.0
,GOV,3.0
,JUD,7.0
GOV,,0.0
JUD,,-10.0
JUD,,-9.0
GOV,REB,4.0
REB,GOV,4.0
REB,GOV,4.0
GOV,REB,4.0
LEG,REB,4.0
,REB,8.0
REB,,8.0
GOV,REB,8.0
REB,GOV,8.0
REB,,7.0
,REB,-2.0
REB,GOV,4.0
,GOV,-9.0
COP,,-10.0
COP,,-5.0
JUD,CRM,7.0
BUS,,2.8
,BUS,1.9
GOV,,7.4
,REB,7.4
GOV,,1.9
GOV,,4.0
,GOV,7.4
,GOV,2.8
,GOV,4.0
,GOV,4.0
REB,GOV,8.0
GOV,,4.0
GOV,GOV,-4.0
REB,REB,5.0
GOV,,3.4
GOV,,-9.0
CVL,,-10.0
GOV,,1.9
COP,,-5.0
,GOV,-10.0
,GOV,2.8
,GOV,-4.0
GOV,REB,8.0
,,3.0
,REB,8.0
MIL,,0.0
GOV,,8.0
,REB,-2.0
,GOV,3.0
JUD,,-2.0
REB,,8.0
MIL,,8.0
JUD,,-5.0
,MIL,8.0
JUD,,7.0
COP,,-9.0
COP,,-9.0
COP,,-10.0
,GOV,-5.0
,COP,4.0
COP,,4.0
,CVL,0.0
COP,,-5.0
,GOV,8.0
JUD,,-5.0
MIL,REB,0.0
REB,,5.0
GOV,,3.4
REB,REB,0.0
,REB,-5.0
,REB,-5.0
,REB,-5.0
GOV,,0.0
,REB,0.0
REB,GOV,4.0
,GOV,4.0
GOV,REB,4.0
REB,REB,4.0
,JUD,-2.0
,GOV,-5.0
,GOV,1.0
GOV,,-5.0
CVL,,0.0
,GOV,-2.0
REB,REB,-5.0
,GOV,8.0
,REB,5.0
,GOV,-5.0
GOV,,8.0
EDU,,4.0
REB,REB,0.0
REB,,5.0
,EDU,4.0
,REB,8.5
,REB,-7.2
,GOV,3.4
,GOV,-5.0
,JUD,-2.0
,REB,8.0
,,3.0
,GOV,0.0
GOV,,0.0
,EDU,1.0
ELI,,-5.0
BUS,,1.0
,BUS,1.0
LEG,,0.0
,,2.8
,REB,-9.0
COP,,0.0
EDU,,1.0
GOV,REB,8.0
GOV,,-5.0
,LEG,4.0
GOV,,-9.0
,REB,3.4
GOV,,0.0
GOV,,2.8
GOV,REB,8.0
REB,GOV,8.0
REB,,0.0
,GOV,4.0
REB,MIL,8.0
REB,,9.0
,REB,4.0
REB,REB,-5.0
REB,,3.0
,,-2.0
REB,,4.0
,GOV,2.8
,,2.8
GOV,,4.0
,GOV,4.0
GOV,,4.0
MIL,REB,8.0
,REB,-4.4
REB,,8.0
,,1.9
,,-2.0
,GOV,0.0
GOV,,3.4
REB,MIL,5.0
JUD,,-2.0
REB,GOV,4.0
REB,,-10.0
REB,,4.0
EDU,MIL,1.0
,GOV,7.0
,GOV,8.0
COP,,-2.0
,REB,-2.0
,CVL,2.8
CVL,,1.9
,GOV,4.0
GOV,,7.0
,GOV,-5.0
,REB,-4.0
REB,REB,0.0
MIL,REB,5.0
LEG,REB,4.0
GOV,REB,4.0
GOV,GOV,4.0
,GOV,3.0
GOV,REB,4.0
REF,,2.8
,REB,8.0
GOV,REB,1.9
,REB,7.0
REB,GOV,8.0
GOV,REB,8.0
,REF,1.9
REB,GOV,2.8
GOV,,3.4
REB,GOV,4.0
REB,,4.0
,REB,4.0
GOV,REB,4.0
,REB,3.0
GOV,,7.0
MIL,REB,-4.0
,REB,4.0
CVL,,3.4
GOV,,-10.0
LEG,,4.0
,CVL,-4.0
,CVL,3.0
REB,,4.0
,REB,4.0
COP,,-2.0
REB,,-10.0
,REB,-10.0
COP,,0.0
REB,,-10.0
,REB,4.0
JUD,,0.4
JUD,,0.4
GOV,,3.0
GOV,,3.0
,REB,2.8
REB,,1.9
REB,,8.0
REB,,4.0
,REB,-9.0
REB,,4.0
REB,,5.2
REB,GOV,4.0
,CVL,3.4
JUD,,0.4
MIL,REB,5.0
REB,GOV,4.0
REB,MIL,5.0
COP,,-5.0
,COP,-10.0
,GOV,3.4
COP,,2.8
GOV,,3.0
GOV,,3.0
GOV,,4.0
REB,,4.0
GOV,MIL,3.0
GOV,MIL,4.0
GOV,MIL,3.5
MIL,GOV,4.0
MIL,GOV,3.5
MIL,,4.0
MIL,,3.5
REB,,-4.4
,REB,4.0
,MIL,3.0
,MIL,4.0
GOV,,2.8
,GOV,1.9
,MIL,3.5
,GOV,7.4
LEG,,4.0
,REB,3.4
,GOV,4.0
REB,,-10.0
GOV,GOV,8.0
,COP,1.9
GOV,GOV,-4.0
GOV,,4.0
MIL,REB,9.0
,REB,-4.0
REB,,2.8
,REB,1.9
,GOV,-10.0
GOV,,8.0
GOV,GOV,8.0
,LEG,4.0
,GOV,8.0
REB,GOV,4.0
GOV,,4.0
GOV,REB,4.0
MIL,,8.0
,MIL,8.0
,MIL,8.0
MIL,,8.0
COP,REB,-5.0
,GOV,3.0
GOV,,3.4
,REB,4.0
GOV,,4.0
,MIL,8.0
GOV,MIL,8.0
REB,,-10.0
REB,,-2.0
REB,,-9.0
COP,,0.0
REB,MIL,-5.0
,BUS,0.0
,REB,-4.0
REB,LEG,8.0
LEG,REB,8.0
REB,,-5.0
,REB,4.0
,REB,7.0
,REB,3.0
,GOV,5.0
,GOV,1.0
REB,,2.8
,REB,1.9
GOV,GOV,7.0
REB,GOV,3.4
,REB,8.0
,LEG,2.8
,,1.0
,JUD,-2.0
,GOV,3.0
,GOV,-10.0
,REB,8.0
REB,,8.0
,MIL,1.0
GOV,,1.9
,GOV,2.8
,REB,-5.0
,GOV,0.0
,GOV,3.4
GOV,REB,3.4
,GOV,3.4
,GOV,5.0
GOV,,3.0
GOV,,3.0
JUD,,0.4
EDU,,-9.0
REB,,9.0
,GOV,8.0
,REB,8.0
GOV,REB,4.0
,,1.0
,GOV,6.0
REB,MIL,8.0
,GOV,3.4
MED,,-2.0
,GOV,3.4
GOV,,0.0
GOV,,3.4
,REB,4.0
GOV,,3.4
GOV,REB,3.4
,,1.0
GOV,,3.4
,,1.0
GOV,,3.4
REB,,4.0
,GOV,3.0
CVL,,-4.0
,CVL,-4.0
,GOV,-9.5
,COP,4.0
,COP,3.4
COP,,4.0
,REB,3.0
,REB,-4.4
MIL,REB,8.0
GOV,,8.0
GOV,REB,8.0
GOV,,3.4
REB,GOV,8.0
,GOV,3.0
,MIL,7.4
REB,,7.0
REB,,7.0
JUD,,-4.0
MIL,GOV,8.0
MIL,,8.0
LEG,,1.0
REB,GOV,7.0
,COP,-2.0
,REB,5.2
REB,GOV,8.0
REB,,3.4
GOV,REB,8.0
REB,,-4.4
REB,,4.0
MIL,,-10.0
GOV,,7.0
REB,,8.0
LEG,,1.9
REB,,8.0
GOV,GOV,0.0
,LEG,7.0
,MIL,1.0
,GOV,3.0
,GOV,3.0
REF,,2.8
,REF,1.9
BUS,,5.0
REB,GOV,4.0
REB,GOV,3.5
REB,GOV,1.9
REB,,3.5
REB,,1.9
GOV,REB,3.5
GOV,REB,2.8
,REB,3.5
,REB,2.8
,REB,5.0
,REB,-2.0
,MED,2.8
MED,,1.9
,GOV,1.0
,REB,-4.0
,GOV,3.0
,GOV,4.0
GOV,,4.0
,REB,-4.0
REB,,-5.0
GOV,GOV,8.0
,REB,3.0
,GOV,3.0
,GOV,-5.0
,EDU,3.4
,GOV,3.5
,REB,7.0
,REB,-0.4
GOV,,3.5
,GOV,-9.0
,EDU,0.0
,GOV,-0.4
REB,,1.0
GOV,,-0.4
GOV,,3.5
REB,,1.0
,REB,1.0
GOV,,-2.0
,GOV,3.4
LEG,,4.0
,GOV,3.4
REB,,-9.0
,GOV,0.0
,GOV,3.5
MIL,,7.0
GOV,,1.0
REB,LEG,3.5
,REB,2.8
REB,,1.9
GOV,,1.9
GOV,REB,2.8
REB,GOV,1.9
,,0.4
,,0.4
,REB,4.0
,REB,8.0
REB,,4.0
,MIL,7.0
REB,,8.0
,GOV,1.0
GOV,,-9.0
LEG,,4.0
,GOV,-4.0
GOV,GOV,-4.0
REB,,-5.0
,GOV,7.0
LEG,REB,4.0
LEG,REB,3.5
LEG,REB,3.4
LEG,,7.0
,GOV,2.8
,GOV,5.0
GOV,REB,4.0
REB,,4.0
REB,,-2.0
,GOV,-5.0
CVL,,-4.0
REB,,1.0
,REB,1.0
REB,GOV,4.0
JUD,,0.0
,GOV,3.0
COP,,-5.0
REB,,-4.4
REB,GOV,8.0
REB,,8.0
GOV,REB,8.0
GOV,,8.0
,REB,8.0
,REB,4.0
REB,REB,-0.3
,GOV,8.0
,MIL,1.0
,EDU,7.0
,REB,3.4
,GOV,3.4
,REB,-9.0
GOV,,4.0
,COP,-7.2
REB,,4.0
REB,GOV,8.0
,REB,-4.0
,MIL,1.0
,REB,1.0
GOV,,9.0
,CVL,-9.2
GOV,,4.0
,MIL,7.0
MIL,,5.2
,,1.0
OPP,,1.0
,,1.0
CVL,,-9.2
,GOV,3.4
GOV,REB,3.0
,CVL,-9.2
,REB,5.2
,REB,7.0
REB,REB,3.0
MIL,,-10.0
REB,MIL,8.0
,COP,-2.0
GOV,,-0.4
,REB,-4.0
,GOV,-0.4
REB,,4.0
HLH,,0.0
REB,,8.0
GOV,,3.5
,REB,8.0
,GOV,3.5
,GOV,3.4
,GOV,3.0
,REB,-2.0
,REB,4.0
JUD,,0.0
REB,,0.0
BUS,,-4.0
,REB,3.4
GOV,REB,8.0
,GOV,4.0
REB,,1.0
,LEG,3.0
GOV,,3.4
REB,,-4.4
GOV,REB,8.0
,GOV,-5.0
GOV,,-7.2
GOV,,8.0
,GOV,-7.2
GOV,,1.0
,GOV,8.0
,GOV,7.4
GOV,GOV,-5.0
,GOV,3.5
COP,,-5.0
,GOV,8.0
,CRM,0.4
BUS,,-9.5
BUS,,-9.5
REB,GOV,8.0
REB,,8.0
REB,,1.9
,REB,8.0
,REB,2.8
,MIL,-9.5
GOV,,3.4
,GOV,4.0
,REB,4.0
REB,,7.0
REB,REB,-5.0
MIL,REB,8.0
GOV,GOV,8.0
,REB,-4.4
,,4.0
,REB,-5.0
REB,REB,-5.0
,GOV,-7.0
GOV,,8.0
,GOV,3.4
REB,,4.0
MIL,,8.0
,GOV,3.5
GOV,,3.5
JUD,REB,3.4
,LEG,3.4
GOV,,-2.0
,MED,2.8
BUS,,1.9
,GOV,-2.0
,MIL,8.0
,MED,2.8
,BUS,2.8
MIL,GOV,8.0
REB,,5.0
GOV,MIL,8.0
,REB,3.0
,GOV,3.4
,CRM,-2.0
GOV,,-2.0
,GOV,4.0
,REB,4.0
GOV,,4.0
REB,,4.0
REB,GOV,4.0
,GOV,-2.0
GOV,,-2.0
GOV,CRM,-2.0
,MED,7.0
MED,,7.0
REB,,5.0
GOV,,2.8
GOV,,7.0
,GOV,7.0
BUS,,-4.0
,GOV,-2.0
GOV,,-2.0
,REB,3.4
CVL,,3.0
,BUS,-5.0
,GOV,8.0
,REB,-4.0
CVL,REB,-4.0
LEG,,8.0
LEG,GOV,8.0
REB,CVL,4.0
GOV,,2.8
GOV,,3.4
GOV,REB,4.0
,GOV,1.9
,LEG,3.4
REB,JUD,8.0
,CRM,-5.0
,GOV,1.9
,REB,4.0
GOV,,-10.0
GOV,,3.0
,REB,3.4
,LEG,8.0
,GOV,-0.4
JUD,REB,8.0
GOV,,0.0
BUS,,4.0
JUD,REB,4.0
REB,,4.0
GOV,,0.0
LEG,REB,1.0
GOV,,0.0
CRM,,-5.0
REB,REB,9.0
COP,,1.9
COP,,0.0
,COP,2.8
GOV,REB,-5.0
REB,REB,9.0
,GOV,-5.0
MIL,,8.0
GOV,MIL,8.0
,MIL,8.0
REB,REB,7.0
REB,REB,1.0
,,-9.0
BUS,,0.0
MIL,GOV,8.0
REB,,7.0
JUD,MIL,3.4
,REB,3.4
,GOV,-5.0
AGR,,2.8
BUS,,1.9
,BUS,2.8
GOV,,0.4
,LEG,3.0
,LEG,0.0
REB,,0.4
,AGR,1.9
,GOV,-2.0
REB,LEG,-5.0
,GOV,-5.0
,CVL,-4.0
JUD,MIL,4.0
,CVL,1.0
,CVL,1.0
,GOV,3.4
,REB,3.4
GOV,,-2.0
GOV,,-2.0
,LEG,0.0
GOV,,-9.0
REB,,4.0
,REB,4.0
GOV,REB,4.0
,LEG,3.4
,LEG,3.4
GOV,,-10.0
,REB,-4.0
REB,,8.0
,LEG,4.0
,LEG,-9.0
,GOV,-2.0
GOV,,3.5
GOV,,-5.0
GOV,,-2.0
COP,,-10.0
GOV,,1.0
REB,,4.0
JUD,REB,8.0
REB,JUD,8.0
,REB,7.0
GOV,REB,7.0
,GOV,1.0
,REB,3.0
REB,,4.0
,REB,4.0
,REB,8.0
GOV,,3.4
GOV,,4.0
GOV,,-10.0
MIL,,5.2
,MIL,5.2
GOV,,0.0
REB,REB,1.9
,CVL,-9.5
GOV,,5.0
,REB,5.0
,COP,-10.0
GOV,REB,5.0
,REB,-5.0
GOV,,-2.0
REB,,7.0
GOV,,4.0
,GOV,4.0
BUS,,4.0
GOV,REB,7.0
,REB,7.0
,BUS,4.0
,REB,1.0
GOV,,-9.0
GOV,,-10.0
,REB,8.0
BUS,,-4.4
,REB,0.0
GOV,REB,7.0
,REB,7.0
REB,,1.0
GOV,MIL,7.0
REB,LEG,4.0
,REB,5.0
MIL,GOV,7.0
GOV,MIL,7.0
LEG,,1.0
,GOV,-9.0
,REB,5.0
REB,,3.4
MIL,GOV,7.0
LEG,REB,1.0
,REB,-4.0
,REB,-9.2
,REB,4.0
,REB,5.0
,REB,4.0
REB,,8.0
GOV,REB,8.0
REB,GOV,4.0
GOV,,-2.0
GOV,REB,4.0
REB,COP,7.0
COP,REB,-5.0
REB,,8.0
,LEG,4.0
GOV,REB,7.0
,REB,7.0
,REB,-5.0
GOV,GOV,4.0
LEG,,4.0
,REB,-4.0
GOV,REB,5.0
LEG,REB,2.8
,GOV,-4.0
HLH,,4.0
,HLH,4.0
CVL,,0.0
,REB,8.0
,GOV,7.4
REB,,7.0
REB,,7.0
REB,,4.0
REB,GOV,8.0
,BUS,0.0
GOV,GOV,0.0
,GOV,3.0
REB,LEG,1.9
,CRM,-5.0
COP,,7.0
,,1.9
,GOV,1.9
,REB,2.8
,REB,7.0
ELI,MIL,1.9
REB,,9.0
GOV,,2.8
GOV,,7.0
REB,,1.9
REB,,7.0
REB,MIL,7.0
,JUD,3.4
,,2.8
,MIL,7.4
GOV,REB,3.5
GOV,REB,0.0
,REB,-10.0
,ELI,-5.0
,ELI,0.0
JUD,,3.4
MIL,,7.4
MIL,,-10.0
,REB,2.8
,REB,7.0
REB,,1.9
REB,,7.0
REB,GOV,3.5
,GOV,8.0
REB,GOV,-10.0
MIL,REB,9.0
,REB,-2.0
,,1.0
GOV,,0.0
REB,,4.0
REB,,0.0
,,1.0
REB,,0.0
,COP,7.0
,REB,7.0
GOV,REB,7.0
GOV,REB,5.0
GOV,REB,7.0
REB,,-10.0
,REB,-5.0
GOV,,-5.0
GOV,,1.0
,GOV,1.0
REB,,-4.0
REB,GOV,-4.0
MIL,ELI,2.8
,REB,5.0
,REB,-10.0
MIL,REB,-10.0
REB,,7.0
REB,,-5.0
MIL,REB,-2.0
GOV,REB,-5.0
GOV,,8.0
,ELI,5.0
REB,,-10.0
REB,,2.8
REB,,1.0
,REB,1.0
,REB,1.0
REB,,-5.0
GOV,MIL,5.0
,REB,7.0
,REB,4.0
REB,,1.0
,MIL,5.0
MIL,REB,9.0
REB,,-10.0
MIL,REB,-2.0
GOV,REB,-7.0
GOV,MIL,-4.4
GOV,,4.0
,GOV,3.4
GOV,,0.0
LEG,,-2.0
REB,,2.8
,REB,1.9
GOV,REB,-4.4
COP,,-5.0
,JUD,3.4
REB,GOV,1.0
REB,ELI,7.0
GOV,REB,5.0
MIL,,7.4
REB,,4.0
LEG,,-2.0
,GOV,-2.0
,GOV,5.0
GOV,REB,1.0
ELI,REB,7.0
,MIL,7.4
REB,,-7.0
REB,REB,-4.4
,REB,-4.4
LEG,,-2.0
,REB,-4.4
GOV,,1.0
GOV,REB,4.0
LEG,,-2.0
REB,LEG,4.0
MIL,REB,-2.0
REB,,1.9
REB,REB,1.9
GOV,GOV,3.4
REB,REB,2.8
REB,REB,9.0
,GOV,1.0
LEG,,-2.0
,MIL,-4.0
,GOV,4.0
,GOV,4.0
,BUS,3.0
GOV,REB,-2.0
CVL,,7.0
GOV,,4.0
COP,,0.0
,REB,2.8
REB,,1.9
,REB,2.8
REB,,1.9
,REB,0.0
,GOV,1.0
REB,GOV,-9.2
GOV,,1.0
MIL,REB,9.0
MIL,REB,-2.0
MIL,REB,9.0
GOV,REB,5.0
GOV,,1.9
GOV,,3.0
,REB,-9.2
,GOV,2.8
,REB,2.8
REB,,1.9
REB,GOV,7.0
GOV,,-5.0
,REB,-2.0
GOV,,3.0
ELI,REB,-2.0
REB,,1.0
,REB,-9.2
,REB,1.0
GOV,,-5.0
,,7.0
,,7.0
,,7.0
,,7.0
,GOV,0.4
,MIL,-4.0
GOV,,3.0
,LEG,0.0
ELI,REB,4.0
,MIL,-10.0
GOV,,8.0
,MIL,5.0
,REB,4.0
REB,,-5.0
HLH,,-5.0
MIL,,-4.0
MED,,-2.0
REB,MIL,-5.0
,REB,5.0
,REB,1.0
REB,,1.0
GOV,REB,0.0
,COP,5.0
,REB,8.0
REB,,8.0
REB,,4.0
GOV,,0.0
GOV,GOV,-0.4
,REB,8.0
,GOV,1.0
GOV,,1.0
GOV,,-5.0
GOV,,7.0
GOV,,3.4
,REB,-10.0
,REB,0.0
REB,,8.0
,REB,-9.0
,BUS,6.4
,REB,5.0
,REB,0.0
MED,,7.0
,GOV,-2.0
,,4.0
GOV,,7.0
,GOV,7.0
BUS,,4.0
,BUS,4.0
ELI,REB,0.0
,MIL,-2.0
REB,LEG,1.9
REB,,4.0
LEG,REB,2.8
,REB,-4.0
,REB,4.0
REB,,9.0
REB,REB,3.0
REB,,-4.4
REB,,-9.2
GOV,,8.0
,GOV,-5.0
,CVL,-5.0
GOV,MIL,5.0
GOV,REB,-4.4
GOV,MIL,-4.4
,GOV,3.4
,,1.0
,,1.0
CVL,,-4.0
GOV,GOV,4.0
REB,,2.5
,GOV,-9.0
GOV,,-9.0
,GOV,3.0
REB,,-5.0
GOV,REB,8.0
REB,GOV,4.0
REB,GOV,8.0
REB,,4.0
,GOV,1.0
REB,,8.0
,REB,8.0
LEG,,-2.0
ELI,REB,-2.0
,REB,3.4
GOV,,3.4
REB,,-0.4
ELI,REB,4.0
,REB,-2.0
GOV,REB,-2.0
REB,,0.0
ELI,,0.0
,GOV,0.0
,GOV,-4.0
JUD,,3.0
,REB,2.8
,MED,-7.2
,REB,4.0
REB,,1.9
REB,,-4.0
,,7.0
GOV,GOV,-0.4
REB,GOV,8.0
,REB,-9.0
,REB,-0.4
,,7.0
,,7.0
,REB,0.0
,GOV,8.0
GOV,,8.0
GOV,REB,8.0
REB,,8.0
,,7.0
,,4.0
,,7.0
,REB,0.0
LEG,,-6.5
JUD,,7.0
,GOV,-7.2
,GOV,3.0
,,4.0
,,7.0
LEG,,-2.0
JUD,,0.0
,REB,8.0
REB,GOV,8.0
,REB,0.0
GOV,,-5.0
REB,,8.0
GOV,REB,8.0
,REB,8.0
,REB,7.0
,REB,0.0
,LEG,-6.5
MED,,7.0
ELI,,4.0
GOV,REB,4.0
REB,,4.0
REB,,5.0
GOV,,4.0
CVL,,2.8
,CVL,1.9
CVL,,2.8
,CVL,-10.0
,REB,-4.4
,REB,7.0
,GOV,1.0
REB,,7.0
,GOV,4.0
,MIL,-4.0
,,1.0
,ELI,4.0
GOV,,1.0
,GOV,4.0
GOV,REB,4.0
REB,GOV,3.5
GOV,,7.0
,GOV,8.0
REB,,4.0
GOV,,8.0
,GOV,7.0
GOV,REB,3.5
GOV,REB,-2.0
GOV,,0.0
,REB,7.0
,REB,8.0
GOV,REB,0.0
REB,REB,0.4
EDU,,3.0
CVL,,-4.0
GOV,,2.8
,GOV,1.9
MNC,BUS,0.0
,GOV,-9.5
REB,GOV,4.0
,GOV,1.0
REB,,8.0
,REB,4.0
,REB,7.0
,REB,4.0
REB,,7.0
REB,,7.0
EDU,,-2.0
GOV,LEG,-2.0
,,2.8
,,1.9
EDU,,0.0
JUD,REB,4.0
GOV,,2.8
,GOV,1.9
,GOV,-6.5
REB,,4.0
JUD,LEG,1.0
,GOV,-7.2
,GOV,8.0
MIL,REB,-10.0
LEG,REB,1.0
LEG,,9.0
GOV,REB,8.0
,REB,-10.0
REB,LEG,8.0
GOV,,8.0
,GOV,8.0
,GOV,8.0
,MIL,7.4
,LEG,7.0
GOV,,8.0
LEG,REB,8.0
,GOV,-4.0
,CRM,-10.0
,LEG,2.8
LEG,,1.0
,LEG,1.0
,LEG,7.0
,LEG,4.0
GOV,,-4.0
HLH,,3.0
,GOV,8.0
GOV,,-2.0
REB,GOV,8.0
,REB,7.0
LEG,,1.9
REB,,8.0
CVL,,-4.0
MIL,,-10.0
,GOV,3.4
,REB,-10.0
MIL,REB,-10.0
GOV,,8.0
,REB,4.0
GOV,,3.0
,REB,8.0
REB,,8.0
GOV,,0.0
,REB,-10.0
MIL,REB,-10.0
,REB,0.0
,REB,3.5
REB,,3.5
,REB,-4.4
LEG,REB,4.0
,MIL,-4.0
,REB,8.0
REB,LEG,7.0
REB,,7.0
LEG,REB,7.0
REB,GOV,-4.0
REB,,0.0
GOV,,8.0
GOV,,0.0
,REB,0.0
,GOV,3.0
,GOV,-10.0
LEG,,0.0
GOV,,-2.0
,REB,0.0
,GOV,5.0
LEG,,4.0
,GOV,0.0
EDU,,-2.0
,REB,8.0
REB,,8.0
GOV,,2.8
GOV,ELI,3.5
,REB,0.0
JUD,,0.0
GOV,,3.0
GOV,,8.0
,GOV,8.0
,GOV,-4.0
,GOV,4.0
LEG,MIL,1.0
,JUD,7.0
,JUD,0.0
GOV,,-2.0
,JUD,0.0
LEG,REB,-2.0
,REB,2.8
GOV,,-5.0
OPP,,7.0
REB,REB,0.0
LEG,,1.0
,REB,-10.0
LEG,,2.8
MIL,REB,-10.0
,BUS,0.0
REB,,2.8
,REB,8.0
REB,,8.0
,REB,0.0
MIL,REB,-9.5
REB,,1.9
,LEG,1.9
,REB,2.8
,REB,1.9
MIL,,-4.0
HLH,,-10.0
GOV,,3.0
JUD,,-2.0
,REB,0.0
,REB,1.9
REB,,2.8
HLH,,-9.0
GOV,REB,-4.0
,HLH,-10.0
GOV,REB,-9.5
,GOV,0.4
,REB,-10.0
,GOV,4.0
,GOV,5.0
,GOV,4.0
GOV,,2.8
,GOV,1.9
JUD,,-4.0
REB,,8.0
,,-10.0
LEG,,1.9
GOV,,8.0
,MED,7.0
,REB,8.0
,MIL,7.4
,LEG,7.0
JUD,,7.0
,LEG,2.8
,GOV,8.0
GOV,,7.0
,GOV,7.0
LEG,REB,1.0
JUD,,7.0
REB,,4.0
,REB,2.8
REB,,0.0
GOV,GOV,5.0
MIL,REB,-10.0
GOV,,8.0
GOV,,8.0
,GOV,8.0
GOV,,3.4
,GOV,3.4
,JUD,8.0
REB,LEG,1.0
REB,,1.0
LEG,REB,1.0
,,-2.0
,REB,1.0
,REB,-4.4
,REB,-4.0
,,1.0
GOV,,5.0
OPP,JUD,7.0
OPP,,7.0
OPP,,3.0
REB,,1.9
GOV,GOV,1.0
GOV,,4.0
,EDU,-4.4
,GOV,8.0
,,3.4
,,-2.0
GOV,REB,-10.0
,REB,1.0
GOV,,0.4
,,-2.0
BUS,,1.0
,,3.4
GOV,,0.0
,,4.0
,,4.0
,MED,7.0
GOV,REB,4.0
REB,REB,1.9
REB,GOV,-4.0
,GOV,4.0
,REB,8.0
GOV,,4.0
REB,REB,8.0
REB,GOV,8.0
GOV,REB,8.0
LEG,,-2.0
,REB,-10.0
,GOV,4.0
,BUS,5.2
BUS,,5.2
REB,,1.9
REB,,4.0
REB,,4.0
REB,,3.0
,REB,2.8
GOV,,4.0
,GOV,4.0
REB,,2.8
REB,,1.9
MIL,REB,-10.0
REB,,8.0
,REB,4.0
GOV,,1.9
GOV,,-5.0
,GOV,3.4
JUD,,-10.0
MIL,,6.0
,CRM,7.0
,REB,-4.0
GOV,,0.0
,GOV,0.0
,GOV,3.4
GOV,REB,4.0
MED,,1.9
,MED,2.8
MED,,1.9
,MED,2.8
MED,,-2.0
,COP,-0.4
REB,,4.0
,REB,2.8
REB,,4.0
,OPP,-4.0
REB,,4.0
MIL,,-2.0
LEG,,-4.4
,GOV,2.8
,MIL,-4.0
,GOV,5.0
LEG,,1.0
MIL,,-10.0
,MIL,0.0
,REB,4.0
BUS,REB,3.0
REB,,5.0
,REB,1.9
GOV,REB,-4.0
JUD,,-4.0
JUD,,-4.0
BUS,,3.0
GOV,,-2.0
,GOV,8.0
,,0.0
,GOV,3.0
,GOV,4.0
,EDU,1.0
HLH,,2.8
,MED,1.9
,CVL,7.0
REB,GOV,8.0
REB,GOV,4.0
REB,,4.0
GOV,REB,8.0
EDU,,1.0
